idempresa,idfamilia,descripcion,precio publico,fecha precio,stock,fecha stock,comentarios,activo
1,1,Luhe 650-16,"150.000,00",0,"0,00",0,,TRUE
1,1,Tyrelink 295 80 22.5 ,"424.000,00",0,"0,00",0,,TRUE
1,1,Goodtyre 215 75 17.5,"222.800,00",0,"0,00",0,,TRUE
1,1,Minnel 165 70 13,"82.800,00",0,"2,00",0,,TRUE
1,1,Minnel 205 65 15,"129.400,00",0,"0,00",0,,TRUE
1,1,Lanvigator 165 70 13,"100.700,00",0,"2,00",0,,TRUE
1,1,Lanvigator 205 70 15,"160.600,00",0,"2,00",0,,TRUE
1,1,Lanvigator 215 65 15,"153.800,00",0,"2,00",0,,TRUE
1,1,Lanvigator 235 75 15,"174.700,00",0,"5,00",0,,TRUE
1,1,Maxter 165 70 13,"100.700,00",0,"2,00",0,,TRUE
1,1,Maxter 195 60 15,"129.400,00",0,"2,00",0,,TRUE
1,1,Aptany 195 55 15,"122.200,00",0,"2,00",0,,TRUE
1,1,Duraturn 195 55 15,"122.200,00",0,"4,00",0,,TRUE
1,1,Sextour 195 60 15,"122.200,00",0,"0,00",0,,TRUE
1,1,Real tour 195 60 15,"129.400,00",0,"4,00",0,,TRUE
1,1,Real tour 205 65 15,"129.400,00",0,"1,00",0,,TRUE
1,1,GOOD YEAR 175 70 13,"105.000,00",0,"6,00",0,,TRUE
1,1,GOOD YEAR 175 65 14,"113.300,00",0,"4,00",0,,TRUE
1,1,GOOD YEAR 175 70 14,"115.000,00",0,"1,00",0,,TRUE
1,1,GOOD YEAR 185 65 15 ,"138.575,00",0,"7,00",0,,TRUE
1,1,GOOD YEAR 195 55 15,"145.900,00",0,"2,00",0,no vender impar,TRUE
1,1,Dobleking 185 70 14,"97.800,00",0,"1,00",0,,TRUE
1,1,kpatos 175 65 14,"97.750,00",0,"0,00",0,,TRUE
1,1,Kapsen 175 65 14,"100.700,00",0,"0,00",0,,TRUE
1,1,Kapsen 205 55 16,"143.800,00",0,"1,00",0,,TRUE
1,1,Kapsen 295 80 22.5,"335.900,00",0,"0,00",0,,TRUE
1,1,VITORA 195 65 16 ,"143.800,00",0,"2,00",0,,TRUE
1,1,ROADWING 165 60 14,"86.250,00",0,"0,00",0,,TRUE
1,1,ROADWING 175 70 14,"0,00",0,"0,00",0,,TRUE
1,1,ROADWING 185 60 14 ,"100.700,00",0,"0,00",0,,TRUE
1,1,ROADWING 185 60 15,"122.300,00",0,"2,00",0,,TRUE
1,1,ROADWING 185 65 15,"126.500,00",0,"0,00",0,,TRUE
1,1,ROADWING 195 55 15,"129.400,00",0,"0,00",0,25/4,TRUE
1,1,ROADWING 195 60 15,"122.200,00",0,"2,00",0,,TRUE
1,1,ROADWING 195 65 15,"122.200,00",0,"2,00",0,,TRUE
1,1,ROADWING 295 80 22.5 ,"322.000,00",0,"0,00",0,,TRUE
1,1,FIREMAX 175 65 14 ,"97.750,00",0,"0,00",0,,TRUE
1,1,FIREMAX 175 70 14,"0,00",0,"0,00",0,,TRUE
1,1,FIREMAX 185 60 15,"0,00",0,"0,00",0,,TRUE
1,1,FIREMAX 195 60 15,"122.200,00",0,"2,00",0,,TRUE
